date,training_status,session,mouse_id
2019-11-21,in training,4f0b964e-982a-4dbc-81ec-bd252ed973a7,DY_010
2019-11-26,trained 1a,e3d998ad-a8b8-4420-9b9a-eb820e83660f,DY_010
2019-11-28,trained 1b,475b871f-1a02-437e-9887-3d7791e621a4,DY_010
2019-12-17,ready4ephysrig,62af0091-c258-4a91-9d03-a39546509a8b,DY_010
2020-01-13,ready4delay,7cc53bf6-ec1b-4e16-b765-c4991c85d540,DY_010
2020-01-16,ready4recording,33e5709c-d677-47cb-90d6-ccb03c2c5f62,DY_010
2020-02-11,in training,2599b64e-247f-46e9-a753-5e64dac3e7f6,ZM_3001
2020-03-11,trained 1a,7ffcb2b2-ad1c-4dbd-b076-4bd867b9e8ae,ZM_3001
2020-03-12,trained 1b,db5e45c8-0081-4cda-805a-fe7792755060,ZM_3001
2020-07-30,ready4ephysrig,04ab4bd0-2fc1-47c2-af47-cc55d1689f5b,ZM_3001
2020-08-03,ready4delay,cf1cd99d-70b5-4e68-a662-bfadc46e505a,ZM_3001
2019-11-04,in training,aa716244-94e7-45e4-98b8-4ba40430bff0,CSHL047
2019-12-17,trained 1b,e9ac1f32-e236-414e-950c-ab52bb80138c,CSHL047
2019-12-27,ready4ephysrig,325b7a86-8a73-499b-908e-9f673bbb034f,CSHL047
2020-01-02,ready4delay,07f91725-4f24-450a-87e2-5124fa8727da,CSHL047
2020-02-17,in training,af48b538-6f3e-4c8d-a74b-085f18934772,SWC_039
2020-03-17,trained 1a,674dca0c-afd7-432a-a54a-aa99865ce62e,SWC_039
2020-08-27,trained 1b,7a0b4245-9c95-4cf5-8365-2fda5cf31092,SWC_039
2020-08-31,ready4delay,682211dc-29b6-4c7e-9692-2cb119b8a0ba,SWC_039
2019-11-21,in training,d5b7a747-d3ce-49d2-b8b8-fa675d9dc4e2,DY_011
2019-11-27,trained 1a,a1512529-1e60-4aca-a336-12bd5e2ca500,DY_011
2019-12-03,trained 1b,9810176c-4346-4965-b753-0b25fcd6fce4,DY_011
